"Month","BEV","PHEV","HEV","TotalLDV","PEV","share"
"Mar-15",5715,3020,"33,654",1545710,8735,0.00565112472585414
"Apr-15",6037,2962,"32,379",1455242,8999,0.00618385120825265
"May-15",7057,4416,"40,257",1634952,11473,0.00701733139566177
"Jun-15",6975,3409,"32,330",1476472,10384,0.00703298132304575
"Jul-15",5143,3836,"35,666",1510941,8979,0.00594265427968398
"Aug-15",5224,3786,"37,633",1577179,9010,0.00571273140207928
"Sep-15",6704,3038,"32,106",1442113,9742,0.00675536521756617
"Oct-15",5740,4081,"30,485",1455153,9821,0.0067491184775759
"Nov-15",6103,4275,"25,153",1318210,10378,0.00787279720226671
"Dec-15",7954,5483,"32,387",1641913,13437,0.00818374664187445
"Jan-16",3576,3137,"20,967",1148087,6713,0.00584711785779301
"Feb-16",4424,3909,"24,371",1343922,8333,0.00620050866047285
"Mar-16",7115,5319,"28,756",1595065,12434,0.00779529360872441
"Apr-16",6266,5842,"28,988",1506431,12108,0.00803754038518857
"May-16",6526,5619,"30,573",1535670,12145,0.00790860015498121
"Jun-16",7678,6113,"27,681",1512996,13791,0.00911502740258401
"Jul-16",7762,6525,"32,633",1521245,14287,0.00939164960279245
"Aug-16",8601,6372,"32,206",1511405,14973,0.00990667623833453
"Sep-16",10032,6037,"31,286",1434483,16069,0.0112019452304419
"Oct-16",5408,5943,"26,484",1370721,11351,0.00828104333412854
"Nov-16",6266,7858,"28,497",1378635,14124,0.0102449161670783
"Dec-16",13077,10211,"34,507",1688368,23288,0.0137932014821413
"Jan-17",5398,5669,"22,630",1142568,11067,0.00968607557712101
"Feb-17",5846,6247,"28,355",1333128,12093,0.00907114695663132
"Mar-17",10171,7384,"32,012",1554998,17555,0.0112894035876573
"Apr-17",5961,7300,"30,949",1426883,13261,0.00929368420536232
"May-17",8038,8645,"33,729",1519793,16683,0.010977152809626
"Jun-17",8814,7787,"30,073",1474970,16601,0.0112551441724238
"Jul-17",7802,7407,"29,050",1416743,15209,0.0107351862687869
"Aug-17",8850,7668,"34,850",1484826,16518,0.0111245358041952
"Sep-17",13421,7719,"37,319",1525522,21140,0.0138575517101687
"Oct-17",6792,6665,"29,451",1356789,13457,0.0099182702689954
"Nov-17",8435,8408,"30,075",1399640,16843,0.0120338086936641
"Dec-17",14959,10289,"32,187",1605527,25248,0.0157256776123977
"Jan-18",9154,6241,"21,718",1151011,15395,0.0133751979781253
"Feb-18",6653,8783,"24,609",1293763,15436,0.0119310878422091
"Mar-18",11060,11601,"28,165",1647090,22661,0.0137582038625697
"Apr-18",12794,9931,"24,827",1353546,22725,0.0167892336130431
"May-18",12232,11403,"31,602",1586493,23635,0.0148976390062862
"Jun-18",12997,10485,"31,038",1543716,23482,0.015211347164893
"Jul-18",15387,9269,"28,203",1362964,24656,0.01808998623588
"Aug-18",20222,10132,"30,182",1482215,30354,0.0204788104289863
"Sep-18",24163,10777,"31,985",1432136,34940,0.024397124295458
"Oct-18",29937,9937,"28,614",1360281,39874,0.0293130610513563
"Nov-18",24089,11580,"27,453",1382553,35669,0.025799372609947
"Dec-18",28374,13744,"29,753",1617778,42118,0.026034474445814
"Jan-19",26942,6010,"19,153",1133157,32952,0.029079818595305
"Feb-19",10644,6610,"22,730",1251513,17254,0.0137865128049009
"Mar-19",17281,8074,"30,926",1598811,25355,0.0158586599666877
"Apr-19",20113,5908,"33,082",1326555,26021,0.0196154701463565
"May-19",18012,7949,"44,162",1581479,25961,0.0164156463664709
"Jun-19",23421,7999,"39,247",1509674,31420,0.020812440301681
"Jul-19",23559,7197,"36,341",1396460,30756,0.0220242613465477
"Aug-19",18864,8433,"42,830",1638722,27297,0.0166574928511364
"Sep-19",21812,5816,"29,848",1267150,27628,0.0218032592826422
"Oct-19",23072,6388,"32,457",1333995,29460,0.0220840407947556
"Nov-19",11421,7733,"32,962",1403153,19154,0.0136506852780844
"Dec-19",18681,7674,"35,706",1512243,26355,0.0174277546664127
"Jan-20",26391,5104,"27,166",1136560,31495,0.0277108115717604
"Feb-20",11151,6111,"32,309",1350570,17262,0.0127812701303894
"Mar-20",18234,3481,"23,591",989954,21715,0.0219353626532142
"Apr-20",8058,2015,"14,268",715322,10073,0.0140817701678405
"May-20",8626,3911,"27,740",1119089,12537,0.0112028623281973
"Jun-20",16809,4206,"41,590",1101169,21015,0.0190842640866207
"Jul-20",23075,5228,"43,738",1236643,28303,0.0228869609094945
"Aug-20",17291,6478,"42,191",1318070,23769,0.0180331848839591
"Sep-20",28101,6670,"43,293",1341099,34771,0.0259272432534809
"Oct-20",29959,7755,"47,611",1358922,37714,0.0277528805921164
"Nov-20",22225,7369,"47,724",1199137,29594,0.0246794152794885
"Dec-20",28620,10721,"63,846",1605497,39341,0.0245039386557558
"Jan-21",25103,7463,"46,843",1106286,32566,0.0294372341329457
"Feb-21",26215,9046,"54,045",1193776,35261,0.0295373671442549
"Mar-21",40755,12261,"78,123",1597152,53016,0.0331940854721404
"Apr-21",33547,18604,"76,397",1518415,52151,0.0343456828337444
"May-21",29796,20807,"82,511",1570313,50603,0.0322247857592722
"Jun-21",45913,16648,"65,960",1302213,62561,0.0480420637791206
"Jul-21",42013,15669,"74,298",1280803,57682,0.0450358095663424
"Aug-21",35499,14067,"67,976",1092661,49566,0.0453626513621334
"Sep-21",42020,12554,"60,102",1015935,54574,0.0537180036124358
"Oct-21",42485,18275,"63,482",1051015,60760,0.0578107829098538
"Nov-21",46687,14170,"59,326",1014411,60857,0.0599924488200542
"Dec-21",49441,16553,"69,983",1203993,65994,0.0548126110367751
"Jan-22",42780,11983,"63,093",991573,54763,0.0552284098094644
"Feb-22",46859,12563,"58,175",1045624,59422,0.056829223506729
"Mar-22",64160,16200,"76,683",1257821,80360,0.0638882639103656
"Apr-22",52537,17875,"71,849",1236432,70412,0.0569477334782665
"May-22",52502,15263,"68,737",1108063,67765,0.0611562699954786
"Jun-22",74262,14838,"61,039",1143820,89100,0.0778968718854365
"Jul-22",64310,13932,"59,229",1126523,78242,0.0694544185959807
"Aug-22",59836,13797,"58,869",1134265,73633,0.0649169285837084
"Sep-22",69811,13415,"55,892",1124297,83226,0.0740249240191871
"Oct-22",71739,17603,"66,661",1181540,89342,0.0756148755014642
"Nov-22",69924,16183,"57,086",1135484,86107,0.0758328607008113
"Dec-22",79262,19759,"69,099",1268897,99021,0.0780370668383643
"Jan-23",72944,15593,"60,069",1046919,88537,0.0845691022896709
"Feb-23",81158,17789,"66,320",1138756,98947,0.0868904313127659
"Mar-23",92077,21397,"94,289",1374992,113474,0.0825270256117854
"Apr-23",92631,23355,"100,528",1361694,115986,0.085177727154559
"May-23",92897,25134,"103,832",1362535,118031,0.0866260316248757
"Jun-23",100745,23181,"100,762",1368178,123926,0.0905773956312702
"Jul-23",99259,23840,"103,757",1298913,123099,0.0947707814149216
"Aug-23",92277,28148,"107,325",1316366,120425,0.0914829158455931
"Sep-23",101719,29632,"109,269",1331167,131351,0.0986735698826669
"Oct-23",90509,22037,"103,799",1193974,112546,0.0942616840902733
"Nov-23",102323,24530,"108,549",1235583,126853,0.102666514511773
"Dec-23",121647,41121,"117,098",1458853,162768,0.111572584763509
"Jan-24",81317,25759,"91,929",1066907,107076,0.100361137381234
"Feb-24",81712,28567,"105,919",1238572,110279,0.0890372138236614
"Mar-24",101720,33315,"122,332",1438012,135035,0.0939039451687469
